ID,Winning_price_per_standard_unit
2543,1.0983299492
2544,3.7043349252
2545,-0.5863285886
2546,1.3190997484
2548,0.3560369406
2549,1.0983299492
2551,3.0273361998
2552,2.8065664006
2555,3.6896455974
2557,2.97214375
2558,2.6465357306
2559,1.2639072986
2562,3.7043349252
2563,0.3973643206
2564,1.5398695476
2565,0.0847554657
2567,1.0431374994
2568,3.0420255276
2570,1.7052988169
2572,-1.5472343373
2574,1.0431374994
2575,0.6733265696
2576,2.8968121459
2577,1.7052988169
2579,1.4026146829
2581,1.4026146829
2583,0.3806800217
2585,0.2306834173
2588,1.5398695476
2591,1.3356359672
2593,2.8065664006
2595,2.5306041516
2598,2.9647319428
2601,1.1287312378
2604,1.1287312378
2605,0.9368938943
2609,0.9368938943
2612,3.6442925535
2614,1.502164068
2615,0.6375282892
2616,2.9238220871
2619,0.7470648633
2622,1.9545391809
2626,0.838903919
2628,2.7513739508
2629,0.9368938943
2630,1.5398695476
2633,1.2922297833
2634,1.5923960181
2636,2.6465357306
2637,3.495757336
2639,3.0273361998
2643,3.6896455974
2644,3.7043349252
2645,0.5727128571
2646,0.9300866205
2649,1.2410386519
2652,1.1137626141
2654,1.5398695476
2659,0.6604636546
2661,2.8968121459
2665,4.8203761312
2668,0.7470648633
2670,1.7910406354
2675,1.7027174047
2676,1.7027174047
2678,1.5992032919
2681,1.7052988169
2685,1.4267551557
2688,1.0429894193
2691,1.3356359672
2693,1.5398695476
2696,2.8968121459
2699,1.9545391809
2700,1.5923960181
2703,1.7027174047
2706,3.0273361998
2709,3.6896455974
2719,-0.5863285886
2721,0.3560369406
2722,1.0983299492
2724,3.0273361998
2726,2.8065664006
2728,3.6896455974
2729,2.6465357306
2731,3.7043349252
2732,0.3973643206
2733,3.0273361998
2735,3.0273361998
2736,3.0420255276
2738,1.7052988169
2741,1.0431374994
2742,0.6733265696
2743,2.8968121459
2745,1.7052988169
2746,1.4026146829
2748,1.4026146829
2750,0.3806800217
2753,0.2306834173
2754,1.5398695476
2758,2.5306041516
2760,-0.2108561811
2763,1.1287312378
2766,1.1287312378
2767,0.9368938943
2770,0.9368938943
2773,3.0273361998
2776,3.6442925535
2778,1.502164068
2780,0.6375282892
2782,2.9238220871
2785,0.7470648633
2787,1.9545391809
2792,0.838903919
2794,2.7513739508
2795,0.9368938943
2796,1.5398695476
2800,1.2922297833
2802,1.7027174047
2803,1.5923960181
2805,2.6465357306
2806,3.495757336
2808,3.0273361998
2811,3.6896455974
2813,0.5727128571
2814,0.9300866205
2818,1.3715627059
2823,3.7043349252
2824,1.2410386519
2825,2.1589463308
2828,1.1137626141
2832,1.5398695476
2833,1.7027174047
2836,0.6604636546
2840,2.8968121459
2843,4.8203761312
2844,0.7470648633
2847,2.1589463308
2851,3.0273361998
2853,1.7910406354
2856,1.7027174047
2857,1.7027174047
2860,1.5992032919
2865,1.0429894193
2868,1.3356359672
2870,1.5398695476
2873,2.8968121459
2876,1.9545391809
2879,1.7027174047
2882,3.0273361998
2884,1.7027174047
2887,3.6896455974
